,source,target,weight
219,Fringilla,Philippa,35
220,Fringilla,Sabrina,15
221,Fringilla,Keira,9
222,Aen,Yennefer,5
223,Aen,Vilgefortz,3
224,Sabrina,Yennefer,13
225,Francesca,Fringilla,13
226,Aen,Fringilla,2
227,Aen,Ida,5
228,Ida,Yennefer,4
229,Fringilla,Yennefer,74
230,Margarita,Yennefer,13
231,Francesca,Tissaia,9
232,Giselher,Reef,6
233,Asse,Mistle,6
234,Giselher,Iskra,6
235,Iskra,Mistle,6
236,Ciri,Kayleigh,14
237,Ciri,Iskra,4
238,Cirilla,Philippa,4
239,Cirilla,Fringilla,5
240,Triss,Yennefer,26
241,Assire,Triss,4
242,Geralt,Rience,5
243,Ciri,Rience,5
244,Assire,Ciri,5
245,Ciri,Triss,8
246,Aen,Francesca,5
247,Aen,Philippa,5
248,Ciri,Philippa,13
249,Philippa,Tissaia,6
250,Sabrina,Tissaia,4
251,Ciri,Tissaia,13
252,Ciri,Margarita,15
253,Cregennan,Lara,34
254,Cregennan,Philippa,3
255,Lara,Philippa,7
256,Cregennan,Francesca,5
257,Aen,Lara,6
258,Aen,Cregennan,2
259,Cerro,Lara,28
260,Keira,Lara,6
261,Francesca,Lara,9
262,Cerro,Riannon,6
263,Goidemar,Riannon,27
264,Falka,Riannon,51
265,Falka,Fringilla,11
266,Falka,Francesca,8
267,Falka,Vridank,10
268,Cerro,Vridank,5
269,Lara,Vridank,5
270,Cerro,Falka,8
271,Falka,Sabrina,2
272,Francesca,Riannon,9
273,Houtborg,Riannon,16
274,Lara,Riannon,13
275,Cerro,Goidemar,6
276,Falka,Goidemar,26
277,Falka,Houtborg,15
278,Falka,Lara,18
279,Cregennan,Goidemar,3
280,Goidemar,Yennefer,5
281,Tissaia,Yennefer,4
282,Augusta,Tissaia,6
283,Augusta,Francesca,6
284,Amavet,Goidemar,5
285,Amavet,Fiona,17
286,Adela,Fiona,21
287,Adela,Amavet,4
288,Adela,Philippa,5
289,Goidemar,Philippa,5
290,Adela,Falka,8
291,Amavet,Falka,4
292,Amavet,Anna,17
293,Anna,Riannon,5
294,Fiona,Goidemar,5
295,Coram,Fiona,11
296,Coram,Falka,6
297,Falka,Fiona,5
298,Fiona,Riannon,11
299,Ciri,Coram,5
300,Fiona,Lara,10
301,Amavet,Lara,6
302,Amavet,Muriel,5
303,Francesca,Muriel,4
304,Crispin,Sabrina,2
305,Adalia,Sabrina,5
306,Adalia,Francesca,9
307,Adalia,Assire,2
308,Assire,Lara,5
309,Adalia,Philippa,5
310,Fiona,Francesca,4
311,Adalia,Amavet,10
312,Adalia,Fiona,10
313,Fiona,Yennefer,3
314,Amavet,Riannon,5
315,Corbett,Riannon,5
316,Corbett,Elen,6
317,Dagorad,Elen,6
318,Adalia,Dagorad,10
319,Dagorad,Lara,3
320,Fiona,Margarita,6
321,Amavet,Margarita,6
322,Anna,Margarita,3
323,Lara,Margarita,5
324,Lara,Pavetta,4
325,Cirilla,Lara,5
326,Francesca,Triss,6
327,Pavetta,Yennefer,5
328,Fringilla,Geralt,5
329,Ciri,Keira,11
330,Assire,Yennefer,14
331,Emhyr,Vilgefortz,5
332,Ciri,Sabrina,6
333,Stefan,Vilgefortz,2
334,Falka,Stefan,5
335,Aevenien,Fringilla,4
336,Seven,Talbot,6
337,Nimue,Yennefer,11
338,Ciri,Nimue,4
339,Bronik,Ciri,1
340,Bronik,Yennefer,8
341,Ciri,Connor,5
342,Connor,Yennefer,2
343,Nimue,Orla,5
344,Connor,Milva,4
345,Bronik,Connor,1
