,source,target,weight
220,Aubry,Barclay,1
221,Julia,Marti,2
222,Kees,Menno,9
223,Isengrim,Menno,8
224,Eurneid,Katje,6
225,Katje,Myrrha,6
226,Jarre,Myrrha,5
227,Jarre,Triss,8
228,Nenneke,Triss,12
229,Jarre,Yennefer,4
230,Marti,Shani,28
231,Daniel,Shani,5
232,Adam,Shani,1
233,Adam,Julia,21
234,Bronibor,Julia,2
235,Foltest,Kobus,5
236,Elan,Zyvik,1
237,Kees,Ouder,1
238,Ouder,Shani,1
239,Anzelm,Shani,2
240,Bronibor,Marti,2
241,Deuslax,Jarre,7
242,Bronibor,Deuslax,5
243,Bronibor,Jarre,1
244,Menno,Sievers,4
245,Munro,Zoltan,3
246,Caleb,Munro,2
247,Caleb,Jarre,3
248,Iola,Jarre,6
249,Jarre,Shani,4
250,Adam,Menno,2
251,Adam,Foltest,5
252,Foltest,Henselt,23
253,Boreas,Dacre,15
254,Boreas,Stefan,6
255,Dacre,Ola,7
256,Boreas,Ciri,3
257,Pavetta,Vilgefortz,18
258,Boreas,Cahir,6
259,Boreas,Vilgefortz,2
260,Maria,Milva,4
261,Geralt,Vilgefortz,81
262,Milva,Yennefer,7
263,Dacre,Stefan,5
264,Boreas,Yennefer,1
265,Cahir,Ciri,14
266,Cahir,Dyffryn,4
267,Aillil,Cahir,6
268,Aillil,Gruffyd,5
269,Dheran,Gruffyd,6
270,Cahir,Dheran,3
271,Cahir,Mawr,14
272,Ciri,Emhyr,35
273,Cirilla,Geralt,10
274,Emhyr,Pavetta,5
275,Duke,Emhyr,8
276,Vilgefortz,Xarthisius,2
277,Francesca,Vilgefortz,4
278,Geralt,Philippa,9
279,Assire,Vilgefortz,4
280,Ciri,Sabrina,18
281,Keira,Triss,6
282,Effenberg,Emhyr,2
283,Effenberg,Talbot,6
284,Boreas,Talbot,3
285,April,Boreas,6
286,April,Dagorad,2
287,Cirilla,Pavetta,6
288,Cirilla,Foltest,2
289,Philippa,Yennefer,20
290,Philippa,Triss,6
291,Francesca,Margarita,14
292,Fitz-Oesterlen,Henselt,5
293,Fitz-Oesterlen,Foltest,8
294,Henselt,Meve,15
295,Demavend,Henselt,6
296,Emhyr,Sabrina,5
297,Demavend,Emhyr,3
298,Assire,Demavend,4
299,Demavend,Sabrina,4
300,Demavend,Francesca,11
301,Demavend,Philippa,8
302,Angus,Riordain,7
303,Hamilcar,Isengrim,4
304,Berengar,Fitz-Oesterlen,11
305,Baron,Berengar,4
306,Baron,Fitz-Oesterlen,6
307,Berengar,Emhyr,3
308,Calanthe,Foltest,5
309,Calanthe,Fitz-Oesterlen,4
310,Fitz-Oesterlen,Philippa,3
311,Foltest,Philippa,4
312,Foltest,Sabrina,6
313,Philippa,Vattier,2
